[24/11/24 13:36:57, INFO, CSE_FSL_main.py:<module>():315] Using GPU: True
[24/11/24 13:36:59, INFO, CSE_FSL_main.py:main():107] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[24/11/24 13:36:59, INFO, CSE_FSL_main.py:main():112] Random seed: 200
[24/11/24 13:36:59, INFO, CSE_FSL_main.py:main():113] Alignment interval (l): 10
[24/11/24 13:36:59, INFO, CSE_FSL_main.py:main():114] Batch Round (h): 1
[24/11/24 13:37:25, INFO, CSE_FSL_main.py:main():269]  > R  0, agg. final model, testing loss: 2.22, testing acc: 17.22% ( 1722/10000), training loss: 2.23, training acc: 15.26%
[24/11/24 13:37:51, INFO, CSE_FSL_main.py:main():269]  > R  1, agg. final model, testing loss: 1.89, testing acc: 29.53% ( 2953/10000), training loss: 1.97, training acc: 26.04%
[24/11/24 13:38:16, INFO, CSE_FSL_main.py:main():269]  > R  2, agg. final model, testing loss: 1.77, testing acc: 34.44% ( 3444/10000), training loss: 1.87, training acc: 30.01%
[24/11/24 13:38:42, INFO, CSE_FSL_main.py:main():269]  > R  3, agg. final model, testing loss: 1.72, testing acc: 36.32% ( 3632/10000), training loss: 1.83, training acc: 31.34%
[24/11/24 13:39:08, INFO, CSE_FSL_main.py:main():269]  > R  4, agg. final model, testing loss: 1.64, testing acc: 39.31% ( 3931/10000), training loss: 1.77, training acc: 33.80%
[24/11/24 13:39:33, INFO, CSE_FSL_main.py:main():269]  > R  5, agg. final model, testing loss: 1.60, testing acc: 40.42% ( 4042/10000), training loss: 1.71, training acc: 36.56%
[24/11/24 13:39:59, INFO, CSE_FSL_main.py:main():269]  > R  6, agg. final model, testing loss: 1.56, testing acc: 41.84% ( 4184/10000), training loss: 1.68, training acc: 38.22%
[24/11/24 13:40:24, INFO, CSE_FSL_main.py:main():269]  > R  7, agg. final model, testing loss: 1.52, testing acc: 44.56% ( 4456/10000), training loss: 1.64, training acc: 39.77%
[24/11/24 13:40:50, INFO, CSE_FSL_main.py:main():269]  > R  8, agg. final model, testing loss: 1.51, testing acc: 44.47% ( 4447/10000), training loss: 1.63, training acc: 39.73%
[24/11/24 13:41:15, INFO, CSE_FSL_main.py:main():269]  > R  9, agg. final model, testing loss: 1.46, testing acc: 46.71% ( 4671/10000), training loss: 1.59, training acc: 41.59%
[24/11/24 13:41:41, INFO, CSE_FSL_main.py:main():269]  > R 10, agg. final model, testing loss: 1.44, testing acc: 47.69% ( 4769/10000), training loss: 1.57, training acc: 42.38%
[24/11/24 13:42:07, INFO, CSE_FSL_main.py:main():269]  > R 11, agg. final model, testing loss: 1.42, testing acc: 48.32% ( 4832/10000), training loss: 1.54, training acc: 43.32%
[24/11/24 13:42:32, INFO, CSE_FSL_main.py:main():269]  > R 12, agg. final model, testing loss: 1.40, testing acc: 49.06% ( 4906/10000), training loss: 1.53, training acc: 43.84%
[24/11/24 13:42:58, INFO, CSE_FSL_main.py:main():269]  > R 13, agg. final model, testing loss: 1.39, testing acc: 49.43% ( 4943/10000), training loss: 1.52, training acc: 44.54%
[24/11/24 13:43:23, INFO, CSE_FSL_main.py:main():269]  > R 14, agg. final model, testing loss: 1.37, testing acc: 50.46% ( 5046/10000), training loss: 1.50, training acc: 45.77%
[24/11/24 13:43:49, INFO, CSE_FSL_main.py:main():269]  > R 15, agg. final model, testing loss: 1.33, testing acc: 52.67% ( 5267/10000), training loss: 1.45, training acc: 47.34%
[24/11/24 13:44:15, INFO, CSE_FSL_main.py:main():269]  > R 16, agg. final model, testing loss: 1.32, testing acc: 52.24% ( 5224/10000), training loss: 1.44, training acc: 47.98%
[24/11/24 13:44:40, INFO, CSE_FSL_main.py:main():269]  > R 17, agg. final model, testing loss: 1.30, testing acc: 53.02% ( 5302/10000), training loss: 1.42, training acc: 48.88%
[24/11/24 13:45:06, INFO, CSE_FSL_main.py:main():269]  > R 18, agg. final model, testing loss: 1.29, testing acc: 53.73% ( 5373/10000), training loss: 1.43, training acc: 48.43%
[24/11/24 13:45:32, INFO, CSE_FSL_main.py:main():269]  > R 19, agg. final model, testing loss: 1.26, testing acc: 55.10% ( 5510/10000), training loss: 1.39, training acc: 49.81%
[24/11/24 13:45:57, INFO, CSE_FSL_main.py:main():269]  > R 20, agg. final model, testing loss: 1.26, testing acc: 55.08% ( 5508/10000), training loss: 1.39, training acc: 49.31%
[24/11/24 13:46:23, INFO, CSE_FSL_main.py:main():269]  > R 21, agg. final model, testing loss: 1.24, testing acc: 55.95% ( 5595/10000), training loss: 1.36, training acc: 50.95%
[24/11/24 13:46:48, INFO, CSE_FSL_main.py:main():269]  > R 22, agg. final model, testing loss: 1.21, testing acc: 56.82% ( 5682/10000), training loss: 1.34, training acc: 51.71%
[24/11/24 13:47:14, INFO, CSE_FSL_main.py:main():269]  > R 23, agg. final model, testing loss: 1.19, testing acc: 57.43% ( 5743/10000), training loss: 1.32, training acc: 52.60%
[24/11/24 13:47:40, INFO, CSE_FSL_main.py:main():269]  > R 24, agg. final model, testing loss: 1.19, testing acc: 57.73% ( 5773/10000), training loss: 1.31, training acc: 52.57%
[24/11/24 13:48:05, INFO, CSE_FSL_main.py:main():269]  > R 25, agg. final model, testing loss: 1.17, testing acc: 58.44% ( 5844/10000), training loss: 1.29, training acc: 53.85%
[24/11/24 13:48:31, INFO, CSE_FSL_main.py:main():269]  > R 26, agg. final model, testing loss: 1.16, testing acc: 59.37% ( 5937/10000), training loss: 1.28, training acc: 54.32%
[24/11/24 13:48:56, INFO, CSE_FSL_main.py:main():269]  > R 27, agg. final model, testing loss: 1.13, testing acc: 60.24% ( 6024/10000), training loss: 1.26, training acc: 54.59%
[24/11/24 13:49:22, INFO, CSE_FSL_main.py:main():269]  > R 28, agg. final model, testing loss: 1.10, testing acc: 61.60% ( 6160/10000), training loss: 1.22, training acc: 56.18%
[24/11/24 13:49:47, INFO, CSE_FSL_main.py:main():269]  > R 29, agg. final model, testing loss: 1.10, testing acc: 61.63% ( 6163/10000), training loss: 1.22, training acc: 56.57%
[24/11/24 13:50:13, INFO, CSE_FSL_main.py:main():269]  > R 30, agg. final model, testing loss: 1.09, testing acc: 61.59% ( 6159/10000), training loss: 1.21, training acc: 56.74%
[24/11/24 13:50:39, INFO, CSE_FSL_main.py:main():269]  > R 31, agg. final model, testing loss: 1.06, testing acc: 62.72% ( 6272/10000), training loss: 1.19, training acc: 57.52%
[24/11/24 13:51:04, INFO, CSE_FSL_main.py:main():269]  > R 32, agg. final model, testing loss: 1.05, testing acc: 62.65% ( 6265/10000), training loss: 1.17, training acc: 58.56%
[24/11/24 13:51:30, INFO, CSE_FSL_main.py:main():269]  > R 33, agg. final model, testing loss: 1.04, testing acc: 63.52% ( 6352/10000), training loss: 1.16, training acc: 58.83%
[24/11/24 13:51:55, INFO, CSE_FSL_main.py:main():269]  > R 34, agg. final model, testing loss: 1.02, testing acc: 63.89% ( 6389/10000), training loss: 1.14, training acc: 59.42%
[24/11/24 13:52:21, INFO, CSE_FSL_main.py:main():269]  > R 35, agg. final model, testing loss: 1.00, testing acc: 65.07% ( 6507/10000), training loss: 1.12, training acc: 60.01%
[24/11/24 13:52:47, INFO, CSE_FSL_main.py:main():269]  > R 36, agg. final model, testing loss: 0.99, testing acc: 65.15% ( 6515/10000), training loss: 1.13, training acc: 59.75%
[24/11/24 13:53:12, INFO, CSE_FSL_main.py:main():269]  > R 37, agg. final model, testing loss: 0.98, testing acc: 65.72% ( 6572/10000), training loss: 1.10, training acc: 61.10%
[24/11/24 13:53:38, INFO, CSE_FSL_main.py:main():269]  > R 38, agg. final model, testing loss: 0.97, testing acc: 65.71% ( 6571/10000), training loss: 1.09, training acc: 61.39%
[24/11/24 13:54:03, INFO, CSE_FSL_main.py:main():269]  > R 39, agg. final model, testing loss: 0.95, testing acc: 66.75% ( 6675/10000), training loss: 1.07, training acc: 61.97%
[24/11/24 13:54:29, INFO, CSE_FSL_main.py:main():269]  > R 40, agg. final model, testing loss: 0.95, testing acc: 66.47% ( 6647/10000), training loss: 1.06, training acc: 62.63%
[24/11/24 13:54:55, INFO, CSE_FSL_main.py:main():269]  > R 41, agg. final model, testing loss: 0.95, testing acc: 66.37% ( 6637/10000), training loss: 1.05, training acc: 62.77%
