[24/11/24 13:41:45, INFO, FSL_SAGE_main.py:<module>():404] Using GPU: True
[24/11/24 13:41:47, INFO, FSL_SAGE_main.py:main():107] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[24/11/24 13:41:47, INFO, FSL_SAGE_main.py:main():112] Random seed: 200
[24/11/24 13:41:47, INFO, FSL_SAGE_main.py:main():113] Alignment interval (l): 10
[24/11/24 13:41:47, INFO, FSL_SAGE_main.py:main():114] Batch Round (h): 1
[24/11/24 13:42:14, INFO, FSL_SAGE_main.py:main():353]  > R  0, for the weighted aggregated final model, testing loss: 1.8529e+00, testing acc: 34.91% ( 3491/10000), training loss: 1.93, training acc: 29.45%
[24/11/24 13:42:40, INFO, FSL_SAGE_main.py:main():353]  > R  1, for the weighted aggregated final model, testing loss: 1.6687e+00, testing acc: 35.97% ( 3597/10000), training loss: 1.80, training acc: 31.87%
[24/11/24 13:43:06, INFO, FSL_SAGE_main.py:main():353]  > R  2, for the weighted aggregated final model, testing loss: 1.6542e+00, testing acc: 36.58% ( 3658/10000), training loss: 1.79, training acc: 32.78%
[24/11/24 13:43:32, INFO, FSL_SAGE_main.py:main():353]  > R  3, for the weighted aggregated final model, testing loss: 1.5171e+00, testing acc: 44.28% ( 4428/10000), training loss: 1.65, training acc: 39.07%
[24/11/24 13:43:58, INFO, FSL_SAGE_main.py:main():353]  > R  4, for the weighted aggregated final model, testing loss: 1.5230e+00, testing acc: 43.22% ( 4322/10000), training loss: 1.68, training acc: 38.08%
[24/11/24 13:44:24, INFO, FSL_SAGE_main.py:main():353]  > R  5, for the weighted aggregated final model, testing loss: 1.5239e+00, testing acc: 44.38% ( 4438/10000), training loss: 1.64, training acc: 40.38%
[24/11/24 13:44:50, INFO, FSL_SAGE_main.py:main():353]  > R  6, for the weighted aggregated final model, testing loss: 1.5129e+00, testing acc: 43.47% ( 4347/10000), training loss: 1.64, training acc: 39.05%
[24/11/24 13:45:16, INFO, FSL_SAGE_main.py:main():353]  > R  7, for the weighted aggregated final model, testing loss: 1.4867e+00, testing acc: 45.10% ( 4510/10000), training loss: 1.60, training acc: 41.36%
[24/11/24 13:45:42, INFO, FSL_SAGE_main.py:main():353]  > R  8, for the weighted aggregated final model, testing loss: 1.4027e+00, testing acc: 48.20% ( 4820/10000), training loss: 1.54, training acc: 43.59%
[24/11/24 13:46:08, INFO, FSL_SAGE_main.py:main():353]  > R  9, for the weighted aggregated final model, testing loss: 1.4021e+00, testing acc: 48.54% ( 4854/10000), training loss: 1.52, training acc: 44.15%
[24/11/24 13:46:37, INFO, FSL_SAGE_main.py:main():353]  > R 10, for the weighted aggregated final model, testing loss: 1.3362e+00, testing acc: 51.68% ( 5168/10000), training loss: 1.47, training acc: 46.36%
[24/11/24 13:47:03, INFO, FSL_SAGE_main.py:main():353]  > R 11, for the weighted aggregated final model, testing loss: 1.2960e+00, testing acc: 53.62% ( 5362/10000), training loss: 1.41, training acc: 48.62%
[24/11/24 13:47:28, INFO, FSL_SAGE_main.py:main():353]  > R 12, for the weighted aggregated final model, testing loss: 1.2507e+00, testing acc: 54.27% ( 5427/10000), training loss: 1.39, training acc: 49.10%
[24/11/24 13:47:54, INFO, FSL_SAGE_main.py:main():353]  > R 13, for the weighted aggregated final model, testing loss: 1.1919e+00, testing acc: 57.87% ( 5787/10000), training loss: 1.32, training acc: 52.33%
