[22/11/24 02:11:22, INFO, baselines.py:train_alg():77] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[22/11/24 02:11:37, INFO, algs.py:fed_avg():124]  > Round 0, testing loss: 1.91, testing acc: 38.12%
[22/11/24 02:11:51, INFO, algs.py:fed_avg():124]  > Round 1, testing loss: 1.47, testing acc: 46.87%
[22/11/24 02:12:04, INFO, algs.py:fed_avg():124]  > Round 2, testing loss: 1.30, testing acc: 53.17%
[22/11/24 02:12:18, INFO, algs.py:fed_avg():124]  > Round 3, testing loss: 1.21, testing acc: 57.65%
[22/11/24 02:12:31, INFO, algs.py:fed_avg():124]  > Round 4, testing loss: 1.14, testing acc: 59.93%
[22/11/24 02:12:44, INFO, algs.py:fed_avg():124]  > Round 5, testing loss: 1.07, testing acc: 61.65%
[22/11/24 02:12:58, INFO, algs.py:fed_avg():124]  > Round 6, testing loss: 1.02, testing acc: 63.79%
[22/11/24 02:13:11, INFO, algs.py:fed_avg():124]  > Round 7, testing loss: 0.97, testing acc: 65.48%
[22/11/24 02:13:24, INFO, algs.py:fed_avg():124]  > Round 8, testing loss: 0.95, testing acc: 66.81%
[22/11/24 02:13:38, INFO, algs.py:fed_avg():124]  > Round 9, testing loss: 0.91, testing acc: 67.98%
[22/11/24 02:13:51, INFO, algs.py:fed_avg():124]  > Round 10, testing loss: 0.89, testing acc: 68.67%
[22/11/24 02:14:05, INFO, algs.py:fed_avg():124]  > Round 11, testing loss: 0.87, testing acc: 70.23%
[22/11/24 02:14:18, INFO, algs.py:fed_avg():124]  > Round 12, testing loss: 0.85, testing acc: 70.56%
[22/11/24 02:14:31, INFO, algs.py:fed_avg():124]  > Round 13, testing loss: 0.83, testing acc: 71.40%
[22/11/24 02:14:45, INFO, algs.py:fed_avg():124]  > Round 14, testing loss: 0.82, testing acc: 71.74%
[22/11/24 02:14:58, INFO, algs.py:fed_avg():124]  > Round 15, testing loss: 0.81, testing acc: 71.58%
[22/11/24 02:15:12, INFO, algs.py:fed_avg():124]  > Round 16, testing loss: 0.79, testing acc: 73.00%
[22/11/24 02:15:25, INFO, algs.py:fed_avg():124]  > Round 17, testing loss: 0.77, testing acc: 73.33%
[22/11/24 02:15:38, INFO, algs.py:fed_avg():124]  > Round 18, testing loss: 0.77, testing acc: 73.44%
[22/11/24 02:15:52, INFO, algs.py:fed_avg():124]  > Round 19, testing loss: 0.76, testing acc: 73.88%
[22/11/24 02:16:05, INFO, algs.py:fed_avg():124]  > Round 20, testing loss: 0.75, testing acc: 74.39%
[22/11/24 02:16:18, INFO, algs.py:fed_avg():124]  > Round 21, testing loss: 0.73, testing acc: 74.95%
[22/11/24 02:16:32, INFO, algs.py:fed_avg():124]  > Round 22, testing loss: 0.74, testing acc: 74.23%
[22/11/24 02:16:45, INFO, algs.py:fed_avg():124]  > Round 23, testing loss: 0.73, testing acc: 74.78%
[22/11/24 02:16:59, INFO, algs.py:fed_avg():124]  > Round 24, testing loss: 0.71, testing acc: 75.49%
[22/11/24 02:17:12, INFO, algs.py:fed_avg():124]  > Round 25, testing loss: 0.71, testing acc: 75.51%
[22/11/24 02:17:25, INFO, algs.py:fed_avg():124]  > Round 26, testing loss: 0.70, testing acc: 75.81%
[22/11/24 02:17:39, INFO, algs.py:fed_avg():124]  > Round 27, testing loss: 0.70, testing acc: 76.02%
[22/11/24 02:17:52, INFO, algs.py:fed_avg():124]  > Round 28, testing loss: 0.69, testing acc: 76.30%
[22/11/24 02:18:05, INFO, algs.py:fed_avg():124]  > Round 29, testing loss: 0.69, testing acc: 76.29%
[22/11/24 02:18:19, INFO, algs.py:fed_avg():124]  > Round 30, testing loss: 0.68, testing acc: 76.34%
[22/11/24 02:18:32, INFO, algs.py:fed_avg():124]  > Round 31, testing loss: 0.67, testing acc: 77.18%
[22/11/24 02:18:45, INFO, algs.py:fed_avg():124]  > Round 32, testing loss: 0.68, testing acc: 76.46%
[22/11/24 02:18:59, INFO, algs.py:fed_avg():124]  > Round 33, testing loss: 0.69, testing acc: 76.77%
[22/11/24 02:19:12, INFO, algs.py:fed_avg():124]  > Round 34, testing loss: 0.66, testing acc: 77.55%
[22/11/24 02:19:26, INFO, algs.py:fed_avg():124]  > Round 35, testing loss: 0.66, testing acc: 77.37%
[22/11/24 02:19:39, INFO, algs.py:fed_avg():124]  > Round 36, testing loss: 0.66, testing acc: 77.45%
[22/11/24 02:19:52, INFO, algs.py:fed_avg():124]  > Round 37, testing loss: 0.65, testing acc: 77.63%
[22/11/24 02:20:06, INFO, algs.py:fed_avg():124]  > Round 38, testing loss: 0.65, testing acc: 77.66%
[22/11/24 02:20:19, INFO, algs.py:fed_avg():124]  > Round 39, testing loss: 0.65, testing acc: 77.70%
[22/11/24 02:20:32, INFO, algs.py:fed_avg():124]  > Round 40, testing loss: 0.65, testing acc: 78.25%
[22/11/24 02:20:46, INFO, algs.py:fed_avg():124]  > Round 41, testing loss: 0.63, testing acc: 78.66%
[22/11/24 02:20:59, INFO, algs.py:fed_avg():124]  > Round 42, testing loss: 0.64, testing acc: 78.30%
[22/11/24 02:21:13, INFO, algs.py:fed_avg():124]  > Round 43, testing loss: 0.64, testing acc: 78.63%
[22/11/24 02:21:26, INFO, algs.py:fed_avg():124]  > Round 44, testing loss: 0.64, testing acc: 78.37%
[22/11/24 02:21:39, INFO, algs.py:fed_avg():124]  > Round 45, testing loss: 0.64, testing acc: 78.20%
[22/11/24 02:21:53, INFO, algs.py:fed_avg():124]  > Round 46, testing loss: 0.63, testing acc: 78.61%
[22/11/24 02:22:06, INFO, algs.py:fed_avg():124]  > Round 47, testing loss: 0.63, testing acc: 78.79%
[22/11/24 02:22:19, INFO, algs.py:fed_avg():124]  > Round 48, testing loss: 0.63, testing acc: 78.64%
[22/11/24 02:22:33, INFO, algs.py:fed_avg():124]  > Round 49, testing loss: 0.62, testing acc: 78.84%
[22/11/24 02:22:46, INFO, algs.py:fed_avg():124]  > Round 50, testing loss: 0.61, testing acc: 79.09%
[22/11/24 02:22:59, INFO, algs.py:fed_avg():124]  > Round 51, testing loss: 0.62, testing acc: 79.19%
[22/11/24 02:23:13, INFO, algs.py:fed_avg():124]  > Round 52, testing loss: 0.62, testing acc: 79.12%
[22/11/24 02:23:26, INFO, algs.py:fed_avg():124]  > Round 53, testing loss: 0.62, testing acc: 79.47%
[22/11/24 02:23:40, INFO, algs.py:fed_avg():124]  > Round 54, testing loss: 0.62, testing acc: 79.19%
[22/11/24 02:23:53, INFO, algs.py:fed_avg():124]  > Round 55, testing loss: 0.61, testing acc: 79.24%
[22/11/24 02:24:06, INFO, algs.py:fed_avg():124]  > Round 56, testing loss: 0.61, testing acc: 79.64%
[22/11/24 02:24:20, INFO, algs.py:fed_avg():124]  > Round 57, testing loss: 0.61, testing acc: 79.65%
[22/11/24 02:24:33, INFO, algs.py:fed_avg():124]  > Round 58, testing loss: 0.61, testing acc: 79.61%
[22/11/24 02:24:46, INFO, algs.py:fed_avg():124]  > Round 59, testing loss: 0.60, testing acc: 80.16%
[22/11/24 02:25:00, INFO, algs.py:fed_avg():124]  > Round 60, testing loss: 0.60, testing acc: 79.86%
[22/11/24 02:25:13, INFO, algs.py:fed_avg():124]  > Round 61, testing loss: 0.60, testing acc: 79.59%
[22/11/24 02:25:26, INFO, algs.py:fed_avg():124]  > Round 62, testing loss: 0.59, testing acc: 80.10%
[22/11/24 02:25:40, INFO, algs.py:fed_avg():124]  > Round 63, testing loss: 0.59, testing acc: 79.98%
