[24/11/24 13:35:10, INFO, baselines.py:train_alg():64] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[24/11/24 13:35:24, INFO, algs.py:fed_avg():135]  > Round 0, testing loss: 1.79, testing acc: 38.26%
[24/11/24 13:35:37, INFO, algs.py:fed_avg():135]  > Round 1, testing loss: 1.45, testing acc: 48.09%
[24/11/24 13:35:51, INFO, algs.py:fed_avg():135]  > Round 2, testing loss: 1.29, testing acc: 53.64%
[24/11/24 13:36:04, INFO, algs.py:fed_avg():135]  > Round 3, testing loss: 1.22, testing acc: 56.34%
[24/11/24 13:36:17, INFO, algs.py:fed_avg():135]  > Round 4, testing loss: 1.13, testing acc: 59.76%
[24/11/24 13:36:31, INFO, algs.py:fed_avg():135]  > Round 5, testing loss: 1.06, testing acc: 62.52%
[24/11/24 13:36:44, INFO, algs.py:fed_avg():135]  > Round 6, testing loss: 1.03, testing acc: 63.95%
[24/11/24 13:36:58, INFO, algs.py:fed_avg():135]  > Round 7, testing loss: 0.99, testing acc: 65.31%
[24/11/24 13:37:11, INFO, algs.py:fed_avg():135]  > Round 8, testing loss: 0.96, testing acc: 66.39%
[24/11/24 13:37:24, INFO, algs.py:fed_avg():135]  > Round 9, testing loss: 0.94, testing acc: 67.62%
[24/11/24 13:37:38, INFO, algs.py:fed_avg():135]  > Round 10, testing loss: 0.91, testing acc: 68.24%
[24/11/24 13:37:51, INFO, algs.py:fed_avg():135]  > Round 11, testing loss: 0.87, testing acc: 69.42%
[24/11/24 13:38:04, INFO, algs.py:fed_avg():135]  > Round 12, testing loss: 0.85, testing acc: 69.97%
[24/11/24 13:38:18, INFO, algs.py:fed_avg():135]  > Round 13, testing loss: 0.85, testing acc: 70.05%
[24/11/24 13:38:31, INFO, algs.py:fed_avg():135]  > Round 14, testing loss: 0.83, testing acc: 71.28%
[24/11/24 13:38:44, INFO, algs.py:fed_avg():135]  > Round 15, testing loss: 0.81, testing acc: 71.62%
[24/11/24 13:38:57, INFO, algs.py:fed_avg():135]  > Round 16, testing loss: 0.82, testing acc: 71.51%
[24/11/24 13:39:11, INFO, algs.py:fed_avg():135]  > Round 17, testing loss: 0.78, testing acc: 72.85%
[24/11/24 13:39:24, INFO, algs.py:fed_avg():135]  > Round 18, testing loss: 0.77, testing acc: 72.75%
[24/11/24 13:39:37, INFO, algs.py:fed_avg():135]  > Round 19, testing loss: 0.77, testing acc: 73.27%
[24/11/24 13:39:50, INFO, algs.py:fed_avg():135]  > Round 20, testing loss: 0.76, testing acc: 73.73%
[24/11/24 13:40:04, INFO, algs.py:fed_avg():135]  > Round 21, testing loss: 0.75, testing acc: 73.66%
[24/11/24 13:40:17, INFO, algs.py:fed_avg():135]  > Round 22, testing loss: 0.74, testing acc: 74.13%
[24/11/24 13:40:30, INFO, algs.py:fed_avg():135]  > Round 23, testing loss: 0.73, testing acc: 74.53%
[24/11/24 13:40:44, INFO, algs.py:fed_avg():135]  > Round 24, testing loss: 0.72, testing acc: 74.84%
[24/11/24 13:40:57, INFO, algs.py:fed_avg():135]  > Round 25, testing loss: 0.73, testing acc: 74.68%
[24/11/24 13:41:10, INFO, algs.py:fed_avg():135]  > Round 26, testing loss: 0.72, testing acc: 75.01%
[24/11/24 13:41:23, INFO, algs.py:fed_avg():135]  > Round 27, testing loss: 0.71, testing acc: 75.53%
[24/11/24 13:41:37, INFO, algs.py:fed_avg():135]  > Round 28, testing loss: 0.70, testing acc: 75.55%
[24/11/24 13:41:50, INFO, algs.py:fed_avg():135]  > Round 29, testing loss: 0.70, testing acc: 75.98%
[24/11/24 13:42:03, INFO, algs.py:fed_avg():135]  > Round 30, testing loss: 0.69, testing acc: 75.88%
[24/11/24 13:42:17, INFO, algs.py:fed_avg():135]  > Round 31, testing loss: 0.68, testing acc: 76.45%
[24/11/24 13:42:30, INFO, algs.py:fed_avg():135]  > Round 32, testing loss: 0.68, testing acc: 76.46%
[24/11/24 13:42:43, INFO, algs.py:fed_avg():135]  > Round 33, testing loss: 0.69, testing acc: 76.16%
[24/11/24 13:42:56, INFO, algs.py:fed_avg():135]  > Round 34, testing loss: 0.68, testing acc: 76.47%
[24/11/24 13:43:10, INFO, algs.py:fed_avg():135]  > Round 35, testing loss: 0.66, testing acc: 77.11%
