[22/11/24 02:11:46, INFO, baselines.py:train_alg():77] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[22/11/24 02:11:47, INFO, algs.py:sl_multi_server():256] Configured rounds = 200
[22/11/24 02:12:01, INFO, algs.py:sl_multi_server():317]  > Round 0, testing loss: 1.89, testing acc: 33.10%
[22/11/24 02:12:15, INFO, algs.py:sl_multi_server():317]  > Round 1, testing loss: 1.47, testing acc: 47.63%
[22/11/24 02:12:29, INFO, algs.py:sl_multi_server():317]  > Round 2, testing loss: 1.29, testing acc: 53.25%
[22/11/24 02:12:43, INFO, algs.py:sl_multi_server():317]  > Round 3, testing loss: 1.24, testing acc: 56.46%
[22/11/24 02:12:56, INFO, algs.py:sl_multi_server():317]  > Round 4, testing loss: 1.15, testing acc: 59.10%
[22/11/24 02:13:10, INFO, algs.py:sl_multi_server():317]  > Round 5, testing loss: 1.08, testing acc: 61.54%
[22/11/24 02:13:24, INFO, algs.py:sl_multi_server():317]  > Round 6, testing loss: 1.06, testing acc: 63.25%
[22/11/24 02:13:37, INFO, algs.py:sl_multi_server():317]  > Round 7, testing loss: 1.01, testing acc: 64.47%
[22/11/24 02:13:51, INFO, algs.py:sl_multi_server():317]  > Round 8, testing loss: 1.00, testing acc: 65.10%
[22/11/24 02:14:05, INFO, algs.py:sl_multi_server():317]  > Round 9, testing loss: 0.94, testing acc: 67.33%
[22/11/24 02:14:18, INFO, algs.py:sl_multi_server():317]  > Round 10, testing loss: 0.91, testing acc: 68.45%
[22/11/24 02:14:32, INFO, algs.py:sl_multi_server():317]  > Round 11, testing loss: 0.89, testing acc: 69.41%
[22/11/24 02:14:46, INFO, algs.py:sl_multi_server():317]  > Round 12, testing loss: 0.88, testing acc: 69.34%
[22/11/24 02:14:59, INFO, algs.py:sl_multi_server():317]  > Round 13, testing loss: 0.85, testing acc: 70.42%
[22/11/24 02:15:13, INFO, algs.py:sl_multi_server():317]  > Round 14, testing loss: 0.84, testing acc: 70.97%
[22/11/24 02:15:27, INFO, algs.py:sl_multi_server():317]  > Round 15, testing loss: 0.82, testing acc: 72.14%
[22/11/24 02:15:41, INFO, algs.py:sl_multi_server():317]  > Round 16, testing loss: 0.81, testing acc: 72.41%
[22/11/24 02:15:54, INFO, algs.py:sl_multi_server():317]  > Round 17, testing loss: 0.78, testing acc: 72.75%
[22/11/24 02:16:08, INFO, algs.py:sl_multi_server():317]  > Round 18, testing loss: 0.78, testing acc: 73.14%
[22/11/24 02:16:22, INFO, algs.py:sl_multi_server():317]  > Round 19, testing loss: 0.78, testing acc: 73.34%
[22/11/24 02:16:35, INFO, algs.py:sl_multi_server():317]  > Round 20, testing loss: 0.77, testing acc: 73.42%
[22/11/24 02:16:49, INFO, algs.py:sl_multi_server():317]  > Round 21, testing loss: 0.75, testing acc: 73.99%
[22/11/24 02:17:03, INFO, algs.py:sl_multi_server():317]  > Round 22, testing loss: 0.75, testing acc: 74.31%
[22/11/24 02:17:16, INFO, algs.py:sl_multi_server():317]  > Round 23, testing loss: 0.75, testing acc: 74.25%
[22/11/24 02:17:30, INFO, algs.py:sl_multi_server():317]  > Round 24, testing loss: 0.73, testing acc: 74.82%
[22/11/24 02:17:44, INFO, algs.py:sl_multi_server():317]  > Round 25, testing loss: 0.72, testing acc: 74.54%
[22/11/24 02:17:57, INFO, algs.py:sl_multi_server():317]  > Round 26, testing loss: 0.70, testing acc: 75.25%
[22/11/24 02:18:11, INFO, algs.py:sl_multi_server():317]  > Round 27, testing loss: 0.71, testing acc: 75.46%
[22/11/24 02:18:25, INFO, algs.py:sl_multi_server():317]  > Round 28, testing loss: 0.70, testing acc: 75.70%
[22/11/24 02:18:39, INFO, algs.py:sl_multi_server():317]  > Round 29, testing loss: 0.70, testing acc: 76.08%
