[22/11/24 02:12:31, INFO, baselines.py:train_alg():77] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[22/11/24 02:12:32, INFO, algs.py:sl_single_server():163] Configured rounds = 200
[22/11/24 02:12:47, INFO, algs.py:sl_single_server():217]  > Round 0, testing loss: 1.57, testing acc: 41.80%
[22/11/24 02:13:00, INFO, algs.py:sl_single_server():217]  > Round 1, testing loss: 1.34, testing acc: 50.71%
[22/11/24 02:13:14, INFO, algs.py:sl_single_server():217]  > Round 2, testing loss: 1.18, testing acc: 57.32%
[22/11/24 02:13:27, INFO, algs.py:sl_single_server():217]  > Round 3, testing loss: 1.11, testing acc: 60.67%
[22/11/24 02:13:41, INFO, algs.py:sl_single_server():217]  > Round 4, testing loss: 1.03, testing acc: 63.66%
[22/11/24 02:13:55, INFO, algs.py:sl_single_server():217]  > Round 5, testing loss: 1.00, testing acc: 64.54%
[22/11/24 02:14:08, INFO, algs.py:sl_single_server():217]  > Round 6, testing loss: 0.95, testing acc: 66.46%
[22/11/24 02:14:22, INFO, algs.py:sl_single_server():217]  > Round 7, testing loss: 0.92, testing acc: 67.95%
[22/11/24 02:14:35, INFO, algs.py:sl_single_server():217]  > Round 8, testing loss: 0.90, testing acc: 68.79%
[22/11/24 02:14:49, INFO, algs.py:sl_single_server():217]  > Round 9, testing loss: 0.87, testing acc: 69.28%
[22/11/24 02:15:03, INFO, algs.py:sl_single_server():217]  > Round 10, testing loss: 0.86, testing acc: 70.07%
[22/11/24 02:15:16, INFO, algs.py:sl_single_server():217]  > Round 11, testing loss: 0.84, testing acc: 70.84%
[22/11/24 02:15:30, INFO, algs.py:sl_single_server():217]  > Round 12, testing loss: 0.83, testing acc: 71.35%
[22/11/24 02:15:43, INFO, algs.py:sl_single_server():217]  > Round 13, testing loss: 0.82, testing acc: 71.44%
[22/11/24 02:15:57, INFO, algs.py:sl_single_server():217]  > Round 14, testing loss: 0.79, testing acc: 72.83%
[22/11/24 02:16:10, INFO, algs.py:sl_single_server():217]  > Round 15, testing loss: 0.78, testing acc: 72.37%
[22/11/24 02:16:24, INFO, algs.py:sl_single_server():217]  > Round 16, testing loss: 0.78, testing acc: 72.98%
[22/11/24 02:16:38, INFO, algs.py:sl_single_server():217]  > Round 17, testing loss: 0.76, testing acc: 73.76%
[22/11/24 02:16:51, INFO, algs.py:sl_single_server():217]  > Round 18, testing loss: 0.75, testing acc: 73.95%
[22/11/24 02:17:05, INFO, algs.py:sl_single_server():217]  > Round 19, testing loss: 0.73, testing acc: 74.69%
[22/11/24 02:17:18, INFO, algs.py:sl_single_server():217]  > Round 20, testing loss: 0.74, testing acc: 74.76%
[22/11/24 02:17:32, INFO, algs.py:sl_single_server():217]  > Round 21, testing loss: 0.76, testing acc: 74.15%
[22/11/24 02:17:45, INFO, algs.py:sl_single_server():217]  > Round 22, testing loss: 0.72, testing acc: 75.11%
[22/11/24 02:17:59, INFO, algs.py:sl_single_server():217]  > Round 23, testing loss: 0.71, testing acc: 75.46%
[22/11/24 02:18:13, INFO, algs.py:sl_single_server():217]  > Round 24, testing loss: 0.73, testing acc: 74.90%
[22/11/24 02:18:26, INFO, algs.py:sl_single_server():217]  > Round 25, testing loss: 0.71, testing acc: 75.43%
[22/11/24 02:18:40, INFO, algs.py:sl_single_server():217]  > Round 26, testing loss: 0.69, testing acc: 76.03%
[22/11/24 02:18:53, INFO, algs.py:sl_single_server():217]  > Round 27, testing loss: 0.71, testing acc: 75.29%
[22/11/24 02:19:07, INFO, algs.py:sl_single_server():217]  > Round 28, testing loss: 0.69, testing acc: 76.67%
[22/11/24 02:19:20, INFO, algs.py:sl_single_server():217]  > Round 29, testing loss: 0.69, testing acc: 76.49%
[22/11/24 02:19:34, INFO, algs.py:sl_single_server():217]  > Round 30, testing loss: 0.70, testing acc: 75.95%
[22/11/24 02:19:48, INFO, algs.py:sl_single_server():217]  > Round 31, testing loss: 0.68, testing acc: 76.58%
[22/11/24 02:20:01, INFO, algs.py:sl_single_server():217]  > Round 32, testing loss: 0.68, testing acc: 76.79%
[22/11/24 02:20:15, INFO, algs.py:sl_single_server():217]  > Round 33, testing loss: 0.70, testing acc: 76.34%
[22/11/24 02:20:28, INFO, algs.py:sl_single_server():217]  > Round 34, testing loss: 0.68, testing acc: 76.65%
[22/11/24 02:20:42, INFO, algs.py:sl_single_server():217]  > Round 35, testing loss: 0.69, testing acc: 76.42%
[22/11/24 02:20:55, INFO, algs.py:sl_single_server():217]  > Round 36, testing loss: 0.67, testing acc: 76.86%
[22/11/24 02:21:09, INFO, algs.py:sl_single_server():217]  > Round 37, testing loss: 0.66, testing acc: 77.32%
[22/11/24 02:21:23, INFO, algs.py:sl_single_server():217]  > Round 38, testing loss: 0.66, testing acc: 76.79%
[22/11/24 02:21:36, INFO, algs.py:sl_single_server():217]  > Round 39, testing loss: 0.67, testing acc: 76.87%
[22/11/24 02:21:50, INFO, algs.py:sl_single_server():217]  > Round 40, testing loss: 0.66, testing acc: 77.50%
[22/11/24 02:22:03, INFO, algs.py:sl_single_server():217]  > Round 41, testing loss: 0.66, testing acc: 77.33%
[22/11/24 02:22:17, INFO, algs.py:sl_single_server():217]  > Round 42, testing loss: 0.67, testing acc: 77.34%
[22/11/24 02:22:30, INFO, algs.py:sl_single_server():217]  > Round 43, testing loss: 0.65, testing acc: 77.93%
