[21/11/24 00:15:49, INFO, CSE_FSL_main.py:<module>():322] Using GPU: True
[21/11/24 00:15:51, INFO, CSE_FSL_main.py:main():120] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[21/11/24 00:15:51, INFO, CSE_FSL_main.py:main():125] Random seed: 200
[21/11/24 00:15:51, INFO, CSE_FSL_main.py:main():126] Alignment interval (l): 2
[21/11/24 00:16:18, INFO, CSE_FSL_main.py:main():276]  > R  0, agg. final model, testing loss: 2.29, testing acc: 10.54% ( 1054/10000), training loss: 2.29, training acc: 10.71%
[21/11/24 00:16:44, INFO, CSE_FSL_main.py:main():276]  > R  1, agg. final model, testing loss: 1.98, testing acc: 23.65% ( 2365/10000), training loss: 2.04, training acc: 21.60%
[21/11/24 00:17:09, INFO, CSE_FSL_main.py:main():276]  > R  2, agg. final model, testing loss: 1.87, testing acc: 29.54% ( 2954/10000), training loss: 1.93, training acc: 26.35%
[21/11/24 00:17:34, INFO, CSE_FSL_main.py:main():276]  > R  3, agg. final model, testing loss: 1.84, testing acc: 31.68% ( 3168/10000), training loss: 1.92, training acc: 27.63%
[21/11/24 00:18:00, INFO, CSE_FSL_main.py:main():276]  > R  4, agg. final model, testing loss: 1.71, testing acc: 36.02% ( 3602/10000), training loss: 1.83, training acc: 31.07%
[21/11/24 00:18:25, INFO, CSE_FSL_main.py:main():276]  > R  5, agg. final model, testing loss: 1.66, testing acc: 38.86% ( 3886/10000), training loss: 1.77, training acc: 34.39%
[21/11/24 00:18:50, INFO, CSE_FSL_main.py:main():276]  > R  6, agg. final model, testing loss: 1.63, testing acc: 40.20% ( 4020/10000), training loss: 1.75, training acc: 35.50%
[21/11/24 00:19:15, INFO, CSE_FSL_main.py:main():276]  > R  7, agg. final model, testing loss: 1.60, testing acc: 40.30% ( 4030/10000), training loss: 1.74, training acc: 35.01%
[21/11/24 00:19:40, INFO, CSE_FSL_main.py:main():276]  > R  8, agg. final model, testing loss: 1.56, testing acc: 42.56% ( 4256/10000), training loss: 1.70, training acc: 37.56%
[21/11/24 00:20:05, INFO, CSE_FSL_main.py:main():276]  > R  9, agg. final model, testing loss: 1.56, testing acc: 42.53% ( 4253/10000), training loss: 1.69, training acc: 38.33%
[21/11/24 00:20:30, INFO, CSE_FSL_main.py:main():276]  > R 10, agg. final model, testing loss: 1.52, testing acc: 44.65% ( 4465/10000), training loss: 1.66, training acc: 38.76%
[21/11/24 00:20:55, INFO, CSE_FSL_main.py:main():276]  > R 11, agg. final model, testing loss: 1.49, testing acc: 45.28% ( 4528/10000), training loss: 1.62, training acc: 40.34%
[21/11/24 00:21:20, INFO, CSE_FSL_main.py:main():276]  > R 12, agg. final model, testing loss: 1.47, testing acc: 46.09% ( 4609/10000), training loss: 1.61, training acc: 40.99%
[21/11/24 00:21:45, INFO, CSE_FSL_main.py:main():276]  > R 13, agg. final model, testing loss: 1.46, testing acc: 47.07% ( 4707/10000), training loss: 1.59, training acc: 41.96%
[21/11/24 00:22:10, INFO, CSE_FSL_main.py:main():276]  > R 14, agg. final model, testing loss: 1.45, testing acc: 47.40% ( 4740/10000), training loss: 1.59, training acc: 41.60%
[21/11/24 00:22:35, INFO, CSE_FSL_main.py:main():276]  > R 15, agg. final model, testing loss: 1.41, testing acc: 48.83% ( 4883/10000), training loss: 1.55, training acc: 43.60%
[21/11/24 00:23:00, INFO, CSE_FSL_main.py:main():276]  > R 16, agg. final model, testing loss: 1.40, testing acc: 48.69% ( 4869/10000), training loss: 1.54, training acc: 43.81%
[21/11/24 00:23:26, INFO, CSE_FSL_main.py:main():276]  > R 17, agg. final model, testing loss: 1.38, testing acc: 49.97% ( 4997/10000), training loss: 1.51, training acc: 44.93%
[21/11/24 00:23:51, INFO, CSE_FSL_main.py:main():276]  > R 18, agg. final model, testing loss: 1.37, testing acc: 50.32% ( 5032/10000), training loss: 1.51, training acc: 44.99%
[21/11/24 00:24:16, INFO, CSE_FSL_main.py:main():276]  > R 19, agg. final model, testing loss: 1.35, testing acc: 51.27% ( 5127/10000), training loss: 1.48, training acc: 46.43%
[21/11/24 00:24:41, INFO, CSE_FSL_main.py:main():276]  > R 20, agg. final model, testing loss: 1.33, testing acc: 52.10% ( 5210/10000), training loss: 1.48, training acc: 46.60%
[21/11/24 00:25:06, INFO, CSE_FSL_main.py:main():276]  > R 21, agg. final model, testing loss: 1.33, testing acc: 52.23% ( 5223/10000), training loss: 1.46, training acc: 47.11%
[21/11/24 00:25:31, INFO, CSE_FSL_main.py:main():276]  > R 22, agg. final model, testing loss: 1.29, testing acc: 53.41% ( 5341/10000), training loss: 1.43, training acc: 48.17%
[21/11/24 00:25:56, INFO, CSE_FSL_main.py:main():276]  > R 23, agg. final model, testing loss: 1.29, testing acc: 53.61% ( 5361/10000), training loss: 1.42, training acc: 48.77%
[21/11/24 00:26:21, INFO, CSE_FSL_main.py:main():276]  > R 24, agg. final model, testing loss: 1.26, testing acc: 55.41% ( 5541/10000), training loss: 1.40, training acc: 49.52%
[21/11/24 00:26:46, INFO, CSE_FSL_main.py:main():276]  > R 25, agg. final model, testing loss: 1.25, testing acc: 55.61% ( 5561/10000), training loss: 1.38, training acc: 50.18%
[21/11/24 00:27:11, INFO, CSE_FSL_main.py:main():276]  > R 26, agg. final model, testing loss: 1.24, testing acc: 56.23% ( 5623/10000), training loss: 1.38, training acc: 50.54%
[21/11/24 00:27:36, INFO, CSE_FSL_main.py:main():276]  > R 27, agg. final model, testing loss: 1.25, testing acc: 55.48% ( 5548/10000), training loss: 1.38, training acc: 49.93%
[21/11/24 00:28:01, INFO, CSE_FSL_main.py:main():276]  > R 28, agg. final model, testing loss: 1.19, testing acc: 57.73% ( 5773/10000), training loss: 1.33, training acc: 52.35%
[21/11/24 00:28:26, INFO, CSE_FSL_main.py:main():276]  > R 29, agg. final model, testing loss: 1.18, testing acc: 58.43% ( 5843/10000), training loss: 1.32, training acc: 52.80%
[21/11/24 00:28:52, INFO, CSE_FSL_main.py:main():276]  > R 30, agg. final model, testing loss: 1.18, testing acc: 58.08% ( 5808/10000), training loss: 1.31, training acc: 52.88%
[21/11/24 00:29:17, INFO, CSE_FSL_main.py:main():276]  > R 31, agg. final model, testing loss: 1.15, testing acc: 59.08% ( 5908/10000), training loss: 1.30, training acc: 53.51%
[21/11/24 00:29:42, INFO, CSE_FSL_main.py:main():276]  > R 32, agg. final model, testing loss: 1.15, testing acc: 59.14% ( 5914/10000), training loss: 1.30, training acc: 53.45%
[21/11/24 00:30:07, INFO, CSE_FSL_main.py:main():276]  > R 33, agg. final model, testing loss: 1.13, testing acc: 60.43% ( 6043/10000), training loss: 1.27, training acc: 54.21%
[21/11/24 00:30:32, INFO, CSE_FSL_main.py:main():276]  > R 34, agg. final model, testing loss: 1.12, testing acc: 60.44% ( 6044/10000), training loss: 1.26, training acc: 54.86%
[21/11/24 00:30:57, INFO, CSE_FSL_main.py:main():276]  > R 35, agg. final model, testing loss: 1.09, testing acc: 61.84% ( 6184/10000), training loss: 1.23, training acc: 55.98%
[21/11/24 00:31:22, INFO, CSE_FSL_main.py:main():276]  > R 36, agg. final model, testing loss: 1.09, testing acc: 61.88% ( 6188/10000), training loss: 1.25, training acc: 55.80%
[21/11/24 00:31:47, INFO, CSE_FSL_main.py:main():276]  > R 37, agg. final model, testing loss: 1.08, testing acc: 62.36% ( 6236/10000), training loss: 1.23, training acc: 56.45%
[21/11/24 00:32:12, INFO, CSE_FSL_main.py:main():276]  > R 38, agg. final model, testing loss: 1.06, testing acc: 62.49% ( 6249/10000), training loss: 1.21, training acc: 56.90%
