[21/11/24 01:16:51, INFO, FSL_SAGE_main.py:<module>():408] Using GPU: True
[21/11/24 01:16:53, INFO, FSL_SAGE_main.py:main():120] Aggregation Factor: [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
[21/11/24 01:16:53, INFO, FSL_SAGE_main.py:main():125] Random seed: 200
[21/11/24 01:16:53, INFO, FSL_SAGE_main.py:main():126] Alignment interval (l): 10
[21/11/24 01:16:53, INFO, FSL_SAGE_main.py:main():154] ----------------------------- WARM START USING SL -----------------------------------
[21/11/24 01:16:53, INFO, algs.py:sl_single_server():170] Configured rounds = 1
[21/11/24 01:17:08, INFO, algs.py:sl_single_server():230]  > Round 0, testing loss: 1.51, testing acc: 44.50%
[21/11/24 01:17:08, INFO, FSL_SAGE_main.py:main():160] After warm start: Test loss: 1.48, Test accuracy: 44.50
[21/11/24 01:17:08, INFO, FSL_SAGE_main.py:main():161] -------------------------------------------------------------------------------------
[21/11/24 01:17:35, INFO, FSL_SAGE_main.py:main():358]  > R  0, for the weighted aggregated final model, testing loss: 1.4785e+00, testing acc: 46.94% ( 4694/10000), training loss: 1.64, training acc: 40.43%
[21/11/24 01:18:00, INFO, FSL_SAGE_main.py:main():358]  > R  1, for the weighted aggregated final model, testing loss: 1.4432e+00, testing acc: 46.49% ( 4649/10000), training loss: 1.59, training acc: 41.30%
[21/11/24 01:18:25, INFO, FSL_SAGE_main.py:main():358]  > R  2, for the weighted aggregated final model, testing loss: 1.3281e+00, testing acc: 52.41% ( 5241/10000), training loss: 1.49, training acc: 45.61%
[21/11/24 01:18:50, INFO, FSL_SAGE_main.py:main():358]  > R  3, for the weighted aggregated final model, testing loss: 1.3025e+00, testing acc: 52.32% ( 5232/10000), training loss: 1.45, training acc: 47.21%
[21/11/24 01:19:15, INFO, FSL_SAGE_main.py:main():358]  > R  4, for the weighted aggregated final model, testing loss: 1.2913e+00, testing acc: 53.01% ( 5301/10000), training loss: 1.48, training acc: 46.55%
[21/11/24 01:19:40, INFO, FSL_SAGE_main.py:main():358]  > R  5, for the weighted aggregated final model, testing loss: 1.1902e+00, testing acc: 56.95% ( 5695/10000), training loss: 1.37, training acc: 50.43%
[21/11/24 01:20:05, INFO, FSL_SAGE_main.py:main():358]  > R  6, for the weighted aggregated final model, testing loss: 1.1686e+00, testing acc: 57.78% ( 5778/10000), training loss: 1.34, training acc: 51.67%
[21/11/24 01:20:30, INFO, FSL_SAGE_main.py:main():358]  > R  7, for the weighted aggregated final model, testing loss: 1.1352e+00, testing acc: 59.03% ( 5903/10000), training loss: 1.32, training acc: 53.16%
[21/11/24 01:20:55, INFO, FSL_SAGE_main.py:main():358]  > R  8, for the weighted aggregated final model, testing loss: 1.2081e+00, testing acc: 56.13% ( 5613/10000), training loss: 1.36, training acc: 51.01%
[21/11/24 01:21:20, INFO, FSL_SAGE_main.py:main():358]  > R  9, for the weighted aggregated final model, testing loss: 1.0955e+00, testing acc: 60.91% ( 6091/10000), training loss: 1.27, training acc: 54.85%
[21/11/24 01:21:48, INFO, FSL_SAGE_main.py:main():358]  > R 10, for the weighted aggregated final model, testing loss: 1.1016e+00, testing acc: 60.52% ( 6052/10000), training loss: 1.28, training acc: 54.54%
[21/11/24 01:22:13, INFO, FSL_SAGE_main.py:main():358]  > R 11, for the weighted aggregated final model, testing loss: 1.0803e+00, testing acc: 61.94% ( 6194/10000), training loss: 1.27, training acc: 55.37%
[21/11/24 01:22:38, INFO, FSL_SAGE_main.py:main():358]  > R 12, for the weighted aggregated final model, testing loss: 1.1132e+00, testing acc: 60.10% ( 6010/10000), training loss: 1.27, training acc: 54.75%
[21/11/24 01:23:03, INFO, FSL_SAGE_main.py:main():358]  > R 13, for the weighted aggregated final model, testing loss: 1.0449e+00, testing acc: 62.36% ( 6236/10000), training loss: 1.22, training acc: 56.54%
[21/11/24 01:23:28, INFO, FSL_SAGE_main.py:main():358]  > R 14, for the weighted aggregated final model, testing loss: 1.0580e+00, testing acc: 62.32% ( 6232/10000), training loss: 1.21, training acc: 56.66%
[21/11/24 01:23:53, INFO, FSL_SAGE_main.py:main():358]  > R 15, for the weighted aggregated final model, testing loss: 1.0420e+00, testing acc: 62.66% ( 6266/10000), training loss: 1.20, training acc: 56.53%
